c	countryLabelEn	countryLabelFi	countryLabelSv	countryLabelDe	countryLabelFr	countryLabelIt
http://www.wikidata.org/entity/Q9270	Thimphu	Thimphu	Thimphu	Thimphu	Thimphou	Thimphu
http://www.wikidata.org/entity/Q61	Washington, D.C.	Washington	Washington, D.C.	Washington, D.C.	Washington	Washington
http://www.wikidata.org/entity/Q1218	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jérusalem	Gerusalemme
http://www.wikidata.org/entity/Q1362	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad
http://www.wikidata.org/entity/Q3674	Niamey	Niamey	Niamey	Niamey	Niamey	Niamey
http://www.wikidata.org/entity/Q70	Bern	Bern	Bern	Bern	Berne	Berna
http://www.wikidata.org/entity/Q1491	La Paz	La Paz	La Paz	La Paz	La Paz	La Paz
http://www.wikidata.org/entity/Q1354	Dhaka	Dhaka	Dhaka	Dhaka	Dacca	Dacca
http://www.wikidata.org/entity/Q1461	Manila	Manila	Manila	Manila	Manille	Manila
http://www.wikidata.org/entity/Q3889	Maputo	Maputo	Maputo	Maputo	Maputo	Maputo
http://www.wikidata.org/entity/Q597	Lisbon	Lissabon	Lissabon	Lissabon	Lisbonne	Lisbona
http://www.wikidata.org/entity/Q1519	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abou Dabi	Abu Dhabi
http://www.wikidata.org/entity/Q85	Cairo	Kairo	Kairo	Kairo	Le Caire	Il Cairo
http://www.wikidata.org/entity/Q1748	Copenhagen	Kööpenhamina	Köpenhamn	Kopenhagen	Copenhague	Copenaghen
http://www.wikidata.org/entity/Q84	London	Lontoo	London	London	Londres	Londra
http://www.wikidata.org/entity/Q84	London	Lontoo	London	London	Londres	Londra
http://www.wikidata.org/entity/Q727	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam
http://www.wikidata.org/entity/Q1963	Khartoum	Khartum	Khartoum	Khartum	Khartoum	Khartum
http://www.wikidata.org/entity/Q90	Paris	Pariisi	Paris	Paris	Paris	Parigi
http://www.wikidata.org/entity/Q1867	Taipei	Taipei	Taipei	Taipeh	Taipei	Taipei
http://www.wikidata.org/entity/Q84	London	Lontoo	London	London	Londres	Londra
http://www.wikidata.org/entity/Q3787	Abuja	Abuja	Abuja	Abuja	Abuja	Abuja
http://www.wikidata.org/entity/Q3718	Dakar	Dakar	Dakar	Dakar	Dakar	Dakar
http://www.wikidata.org/entity/Q64	Berlin	Berliini	Berlin	Berlin	Berlin	Berlino
http://www.wikidata.org/entity/Q1533	Caracas	Caracas	Caracas	Caracas	Caracas	Caracas
http://www.wikidata.org/entity/Q1861	Bangkok	Bangkok	Bangkok	Bangkok	Bangkok	Bangkok
http://www.wikidata.org/entity/Q1865	Kuala Lumpur	Kuala Lumpur	Kuala Lumpur	Kuala Lumpur	Kuala Lumpur	Kuala Lumpur
http://www.wikidata.org/entity/Q3859	Kigali	Kigali	Kigali	Kigali	Kigali	Kigali
http://www.wikidata.org/entity/Q3935	Windhoek	Windhoek	Windhoek	Windhoek	Windhoek	Windhoek
http://www.wikidata.org/entity/Q90	Paris	Pariisi	Paris	Paris	Paris	Parigi
http://www.wikidata.org/entity/Q3894	Kampala	Kampala	Kampala	Kampala	Kampala	Kampala
http://www.wikidata.org/entity/Q1748	Copenhagen	Kööpenhamina	Köpenhamn	Kopenhagen	Copenhague	Copenaghen
http://www.wikidata.org/entity/Q1748	Copenhagen	Kööpenhamina	Köpenhamn	Kopenhagen	Copenhague	Copenaghen
http://www.wikidata.org/entity/Q1748	Copenhagen	Kööpenhamina	Köpenhamn	Kopenhagen	Copenhague	Copenaghen
http://www.wikidata.org/entity/Q727	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam
http://www.wikidata.org/entity/Q216	Vilnius	Vilna	Vilnius	Vilnius	Vilnius	Vilnius
http://www.wikidata.org/entity/Q239	City of Brussels	Bryssel	Bryssel	Brüssel	Bruxelles	Bruxelles
http://www.wikidata.org/entity/Q3780	Freetown	Freetown	Freetown	Freetown	Freetown	Freetown
http://www.wikidata.org/entity/Q85	Cairo	Kairo	Kairo	Kairo	Le Caire	Il Cairo
http://www.wikidata.org/entity/Q168652	Hargeisa	Hargeisa	Hargeisa	Hargeysa	Hargeisa	Hargheisa
http://www.wikidata.org/entity/Q1530	Baghdad	Bagdad	Bagdad	Bagdad	Bagdad	Baghdad
http://www.wikidata.org/entity/Q2449	Mogadishu	Mogadishu	Mogadishu	Mogadischu	Mogadiscio	Mogadiscio
http://www.wikidata.org/entity/Q1435	Zagreb	Zagreb	Zagreb	Zagreb	Zagreb	Zagabria
http://www.wikidata.org/entity/Q1218	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jérusalem	Gerusalemme
http://www.wikidata.org/entity/Q2907	Sucre	Sucre	Sucre	Sucre	Sucre	Sucre
http://www.wikidata.org/entity/Q270	Warsaw	Varsova	Warszawa	Warschau	Varsovie	Varsavia
http://www.wikidata.org/entity/Q3940	Victoria	Victoria	Victoria	Victoria	Victoria	Victoria
http://www.wikidata.org/entity/Q334	Singapore	Singapore	Singapore	Singapur	Singapour	Singapore
http://www.wikidata.org/entity/Q101418	Lobamba	Lobamba	Lobamba	Lobamba	Lobamba	Lobamba
http://www.wikidata.org/entity/Q220	Rome	Rooma	Rom	Rom	Rome	Roma
http://www.wikidata.org/entity/Q3579	Tripoli	Tripoli	Tripoli	Tripolis	Tripoli	Tripoli
http://www.wikidata.org/entity/Q3904	Mbabane	Mbabane	Mbabane	Mbabane	Mbabane	Mbabane
http://www.wikidata.org/entity/Q2467	Nassau	Nassau	Nassau	Nassau	Nassau	Nassau
http://www.wikidata.org/entity/Q3932	São Tomé	São Tomé	São Tomé	São Tomé	São Tomé	São Tomé
http://www.wikidata.org/entity/Q597	Lisbon	Lissabon	Lissabon	Lissabon	Lisbonne	Lisbona
http://www.wikidata.org/entity/Q2900	Quito	Quito	Quito	Quito	Quito	Quito
http://www.wikidata.org/entity/Q384	Skopje	Skopje	Skopje	Skopje	Skopje	Skopje
http://www.wikidata.org/entity/Q2841	Bogotá	Bogotá	Bogotá	Bogotá	Bogota	Bogotà
http://www.wikidata.org/entity/Q269	Tashkent	Taškent	Tasjkent	Taschkent	Tachkent	Tashkent
http://www.wikidata.org/entity/Q3572	Tunis	Tunis	Tunis	Tunis	Tunis	Tunisi
http://www.wikidata.org/entity/Q3070	San José	San José	San José	San José	San José	San José
http://www.wikidata.org/entity/Q2471	Sanaa	Sanaa	Sanaa	Sanaa	Sanaa	Sana'a
http://www.wikidata.org/entity/Q3820	Beirut	Beirut	Beirut	Beirut	Beyrouth	Beirut
http://www.wikidata.org/entity/Q3551	Rabat	Rabat	Rabat	Rabat	Rabat	Rabat
http://www.wikidata.org/entity/Q1773	Riga	Riika	Riga	Riga	Riga	Riga
