country	countryLabelEn	countryLabelFi	countryLabelSv	countryLabelDe	countryLabelFr	countryLabelIt
http://www.wikidata.org/entity/Q691	Papua New Guinea	Papua-Uusi-Guinea	Papua Nya Guinea	Papua-Neuguinea	Papouasie-Nouvelle-Guinée	Papua Nuova Guinea
http://www.wikidata.org/entity/Q33	Finland	Suomi	Finland	Finnland	Finlande	Finlandia
http://www.wikidata.org/entity/Q1033	Nigeria	Nigeria	Nigeria	Nigeria	Nigeria	Nigeria
http://www.wikidata.org/entity/Q16	Canada	Kanada	Kanada	Kanada	Canada	Canada
http://www.wikidata.org/entity/Q17	Japan	Japani	Japan	Japan	Japon	Giappone
http://www.wikidata.org/entity/Q27	Ireland	Irlanti	Irland	Irland	Irlande	Irlanda
http://www.wikidata.org/entity/Q1036	Uganda	Uganda	Uganda	Uganda	Ouganda	Uganda
http://www.wikidata.org/entity/Q1037	Rwanda	Ruanda	Rwanda	Ruanda	Rwanda	Ruanda
http://www.wikidata.org/entity/Q20	Norway	Norja	Norge	Norwegen	Norvège	Norvegia
http://www.wikidata.org/entity/Q697	Nauru	Nauru	Nauru	Nauru	Nauru	Nauru
http://www.wikidata.org/entity/Q695	Palau	Palau	Palau	Palau	Palaos	Palau
http://www.wikidata.org/entity/Q702	Federated States of Micronesia	Mikronesia	Mikronesiska federationen	Föderierte Staaten von Mikronesien	États fédérés de Micronésie	Stati Federati di Micronesia
http://www.wikidata.org/entity/Q35	Denmark	Tanska	Danmark	Dänemark	Danemark	Danimarca
http://www.wikidata.org/entity/Q35	Denmark	Tanska	Danmark	Dänemark	Danemark	Danimarca
http://www.wikidata.org/entity/Q1039	São Tomé and Príncipe	São Tomé ja Príncipe	São Tomé och Príncipe	São Tomé und Príncipe	Sao Tomé-et-Principe	São Tomé e Príncipe
http://www.wikidata.org/entity/Q1045	Somalia	Somalia	Somalia	Somalia	Somalie	Somalia
http://www.wikidata.org/entity/Q709	Marshall Islands	Marshallinsaaret	Marshallöarna	Marshallinseln	Îles Marshall	Isole Marshall
http://www.wikidata.org/entity/Q1050	Eswatini	Swazimaa	Swaziland	Eswatini	Eswatini	eSwatini
http://www.wikidata.org/entity/Q43	Turkey	Turkki	Turkiet	Türkei	Turquie	Turchia
http://www.wikidata.org/entity/Q29	Spain	Espanja	Spanien	Spanien	Espagne	Spagna
http://www.wikidata.org/entity/Q710	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati
http://www.wikidata.org/entity/Q45	Portugal	Portugali	Portugal	Portugal	Portugal	Portogallo
http://www.wikidata.org/entity/Q1042	Seychelles	Seychellit	Seychellerna	Seychellen	Seychelles	Seychelles
http://www.wikidata.org/entity/Q1041	Senegal	Senegal	Senegal	Senegal	Sénégal	Senegal
http://www.wikidata.org/entity/Q730	Suriname	Suriname	Surinam	Suriname	Suriname	Suriname
http://www.wikidata.org/entity/Q79	Egypt	Egypti	Egypten	Ägypten	Égypte	Egitto
http://www.wikidata.org/entity/Q28	Hungary	Unkari	Ungern	Ungarn	Hongrie	Ungheria
http://www.wikidata.org/entity/Q211	Latvia	Latvia	Lettland	Lettland	Lettonie	Lettonia
http://www.wikidata.org/entity/Q711	Mongolia	Mongolia	Mongoliet	Mongolei	Mongolie	Mongolia
http://www.wikidata.org/entity/Q712	Fiji	Fidži	Fiji	Fidschi	Fidji	Figi
http://www.wikidata.org/entity/Q32	Luxembourg	Luxemburg	Luxemburg	Luxemburg	Luxembourg	Lussemburgo
http://www.wikidata.org/entity/Q236	Montenegro	Montenegro	Montenegro	Montenegro	Monténégro	Montenegro
http://www.wikidata.org/entity/Q733	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay
http://www.wikidata.org/entity/Q736	Ecuador	Ecuador	Ecuador	Ecuador	Équateur	Ecuador
http://www.wikidata.org/entity/Q145	United Kingdom	Yhdistynyt kuningaskunta	Storbritannien	Vereinigtes Königreich	Royaume-Uni	Regno Unito
http://www.wikidata.org/entity/Q754	Trinidad and Tobago	Trinidad ja Tobago	Trinidad och Tobago	Trinidad und Tobago	Trinité-et-Tobago	Trinidad e Tobago
http://www.wikidata.org/entity/Q31	Belgium	Belgia	Belgien	Belgien	Belgique	Belgio
http://www.wikidata.org/entity/Q1049	Sudan	Sudan	Sudan	Sudan	Soudan	Sudan
http://www.wikidata.org/entity/Q36	Poland	Puola	Polen	Polen	Pologne	Polonia
http://www.wikidata.org/entity/Q756617	Danish Realm	Tanskan kuningaskunta	Kungariket Danmark	Königreich Dänemark	Royaume du Danemark	Regno di Danimarca
http://www.wikidata.org/entity/Q34	Sweden	Ruotsi	Sverige	Schweden	Suède	Svezia
http://www.wikidata.org/entity/Q717	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela
http://www.wikidata.org/entity/Q769	Grenada	Grenada	Grenada	Grenada	Grenade	Grenada
http://www.wikidata.org/entity/Q224	Croatia	Kroatia	Kroatien	Kroatien	Croatie	Croazia
http://www.wikidata.org/entity/Q2293341	Skykomish	Skykomish	Skykomish	Skykomish	Skykomish	Skykomish
http://www.wikidata.org/entity/Q142	France	Ranska	Frankrike	Frankreich	France	Francia
http://www.wikidata.org/entity/Q108266	Navajo	Navajot	Navajo	Navajo	Navajos	Navajo
http://www.wikidata.org/entity/Q739	Colombia	Kolumbia	Colombia	Kolumbien	Colombie	Colombia
http://www.wikidata.org/entity/Q29999	Kingdom of the Netherlands	Alankomaiden kuningaskunta	Konungariket Nederländerna	Königreich der Niederlande	Royaume des Pays-Bas	Regno dei Paesi Bassi
http://www.wikidata.org/entity/Q33	Finland	Suomi	Finland	Finnland	Finlande	Finlandia
http://www.wikidata.org/entity/Q750	Bolivia	Bolivia	Bolivia	Bolivien	Bolivie	Bolivia
http://www.wikidata.org/entity/Q204920	Crown of Aragon	Aragonian kruunu	Aragonska kronan	Krone Aragon	Couronne d'Aragon	Corona d'Aragona
http://www.wikidata.org/entity/Q763	Saint Kitts and Nevis	Saint Kitts ja Nevis	Saint Kitts och Nevis	St. Kitts und Nevis	Saint-Christophe-et-Niévès	Saint Kitts e Nevis
http://www.wikidata.org/entity/Q1044	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone
http://www.wikidata.org/entity/Q30	United States of America	Yhdysvallat	USA	Vereinigte Staaten	États-Unis	Stati Uniti d'America
http://www.wikidata.org/entity/Q35	Denmark	Tanska	Danmark	Dänemark	Danemark	Danimarca
http://www.wikidata.org/entity/Q822	Lebanon	Libanon	Libanon	Libanon	Liban	Libano
http://www.wikidata.org/entity/Q38	Italy	Italia	Italien	Italien	Italie	Italia
http://www.wikidata.org/entity/Q734	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana
http://www.wikidata.org/entity/Q1028	Morocco	Marokko	Marocko	Marokko	Maroc	Marocco
http://www.wikidata.org/entity/Q37	Lithuania	Liettua	Litauen	Litauen	Lituanie	Lituania
http://www.wikidata.org/entity/Q757	Saint Vincent and the Grenadines	Saint Vincent ja Grenadiinit	Saint Vincent och Grenadinerna	St. Vincent und die Grenadinen	Saint-Vincent-et-les-Grenadines	Saint Vincent e Grenadine
http://www.wikidata.org/entity/Q659307	Jicarilla Apache	Jicarillat	Jicarillaapacher	Jicarilla	Jicarillas	Apache Jicarilla
http://www.wikidata.org/entity/Q262	Algeria	Algeria	Algeriet	Algerien	Algérie	Algeria
http://www.wikidata.org/entity/Q41	Greece	Kreikka	Grekland	Griechenland	Grèce	Grecia
http://www.wikidata.org/entity/Q210332	Haida people	Haidat	Haida	Haida	Haïdas	Haida
http://www.wikidata.org/entity/Q947650	Osage Nation	Osage-intiaanit	Osage	Osage	Osages	Nazione Osage
http://www.wikidata.org/entity/Q756617	Danish Realm	Tanskan kuningaskunta	Kungariket Danmark	Königreich Dänemark	Royaume du Danemark	Regno di Danimarca
http://www.wikidata.org/entity/Q79	Egypt	Egypti	Egypten	Ägypten	Égypte	Egitto
