c	countryLabelEn	countryLabelFi	countryLabelSv	countryLabelDe	countryLabelFr	countryLabelIt
http://www.wikidata.org/entity/Q4588	Samoan tālā	Samoan tala	Samoansk Tala	samoanischer Tala	tala	tala samoano
http://www.wikidata.org/entity/Q4602	Tunisian dinar	Tunisian dinaari	Tunisisk dinar	tunesischer Dinar	dinar tunisien	dinaro tunisino
http://www.wikidata.org/entity/Q200192	Moroccan dirham	Marokon dirhami	Marockansk dirham	Marokkanischer Dirham	Dirham marocain	Dirham marocchino
http://www.wikidata.org/entity/Q4406	Tuvaluan dollar	Tuvalun dollari	Tuvaluansk dollar	Tuvaluischer Dollar	Dollar de Tuvalu	Dollaro di Tuvalu
http://www.wikidata.org/entity/Q4406	Tuvaluan dollar	Tuvalun dollari	Tuvaluansk dollar	Tuvaluischer Dollar	Dollar de Tuvalu	Dollaro di Tuvalu
http://www.wikidata.org/entity/Q194339	Bahamian dollar	Bahaman dollari	Bahamansk dollar	Bahama-Dollar	dollar bahaméen	dollaro delle Bahamas
http://www.wikidata.org/entity/Q202462	Namibian dollar	Namibian dollari	Namibisk dollar	Namibia-Dollar	Dollar namibien	Dollaro namibiano
http://www.wikidata.org/entity/Q4741	Rwandan franc	Ruandan frangi	Rwandisk franc	Ruanda-Franc	franc rwandais	franco ruandese
http://www.wikidata.org/entity/Q200753	Mozambican metical	Mosambikin metical	Moçambikisk Metical	Metical	Metical	Metical mozambicano
http://www.wikidata.org/entity/Q4584	ariary	Madagaskarin ariary	Madagaskisk ariary	Ariary	ariary	ariary malgascio
http://www.wikidata.org/entity/Q4594	Djiboutian franc	Djiboutin frangi	Djiboutisk franc	Dschibuti-Franc	franc Djibouti	franco gibutiano
http://www.wikidata.org/entity/Q4596	Sri Lankan rupee	Sri Lankan rupia	Lankesisk rupie	Sri-Lanka-Rupie	roupie srilankaise	rupia singalese
http://www.wikidata.org/entity/Q201799	ngultrum	Bhutanin ngultrum	Ngultrum	Ngultrum	ngultrum	Ngultrum del Bhutan
http://www.wikidata.org/entity/Q4613	Tongan paʻanga	Tongan paʻanga	Tongansk pa'anga	Paʻanga	pa’anga	pa'anga tongano
http://www.wikidata.org/entity/Q4823	lilangeni	Lilangeni	Swazisk lilangeni	Lilangeni	lilangeni	lilangeni dell'eSwatini
http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	Itä-Karibian dollari	Östkaribisk dollar	Ostkaribischer Dollar	dollar des Caraïbes orientales	dollaro dei Caraibi Orientali
http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	Itä-Karibian dollari	Östkaribisk dollar	Ostkaribischer Dollar	dollar des Caraïbes orientales	dollaro dei Caraibi Orientali
http://www.wikidata.org/entity/Q4589	Tanzanian shilling	Tansanian šillinki	Tanzanisk shilling	Tansania-Schilling	shilling tanzanien	scellino tanzaniano
http://www.wikidata.org/entity/Q207024	Mauritanian ouguiya	Mauritanian ouguiya	Mauretansk ouguiya	Ouguiya	ouguiya	Ouguiya mauritana
http://www.wikidata.org/entity/Q212967	Mauritian rupee	Mauritiuksen rupia	Mauritisk rupie	Mauritius-Rupie	Roupie mauricienne	Rupia mauriziana
http://www.wikidata.org/entity/Q4734	Congolese franc	Kongon frangi	Kongolesisk franc	Kongo-Franc	franc congolais	franco congolese
http://www.wikidata.org/entity/Q211694	Malawian kwacha	Malawin kwacha	Malawisk kwacha	Malawi-Kwacha	Kwacha malawien	Kwacha malawiano
http://www.wikidata.org/entity/Q4587	Sierra Leonean leone	Sierra Leonen leone	Sierraleonsk Leone	Sierra-leonischer Leone	leone	leone sierraleonese
http://www.wikidata.org/entity/Q4595	Seychellois rupee	Seychellien rupia	Seychellisk rupee	Seychellen-Rupie	roupie seychelloise	rupia delle Seychelles
http://www.wikidata.org/entity/Q4608	Georgian lari	Georgian lari	Georgiska lari	georgischer Lari	lari	lari georgiano
http://www.wikidata.org/entity/Q191068	Faroese króna	Färsaarten kruunu	Färöisk krona	färöische Krone	couronne féroïenne	corona delle Fær Øer
http://www.wikidata.org/entity/Q4730	Mexican peso	Meksikon peso	Mexikansk peso	Mexikanischer Peso	peso mexicain	peso messicano
http://www.wikidata.org/entity/Q4591	Cape Verdean escudo	Kap Verden escudo	Kapverdisk escudo	Kap-Verde-Escudo	escudo cap-verdien	escudo capoverdiano
http://www.wikidata.org/entity/Q4592	Fijian dollar	Fidžin dollari	Fijidollar	Fidschi-Dollar	dollar de Fidji	dollaro delle Figi
http://www.wikidata.org/entity/Q193712	São Tomé and Príncipe dobra	São Tomén ja Príncipen dobra	Saotomeansk Dobra	São-toméischer Dobra	dobra	dobra di São Tomé e Príncipe
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q271206	Sudanese pound	Sudanin punta	Sudanesiskt pund	sudanesisches Pfund	livre soudanaise	sterlina sudanese
http://www.wikidata.org/entity/Q4597	Solomon Islands dollar	Salomonsaarten dollari	Salomondollar	Salomonen-Dollar	dollar des îles Salomon	dollaro delle Salomone
http://www.wikidata.org/entity/Q4597	Solomon Islands dollar	Salomonsaarten dollari	Salomondollar	Salomonen-Dollar	dollar des îles Salomon	dollaro delle Salomone
http://www.wikidata.org/entity/Q4598	Ugandan shilling	Ugandan šillinki	Ugandisk shilling	Uganda-Schilling	shilling ougandais	scellino ugandese
http://www.wikidata.org/entity/Q4603	Somali shilling	Somalian šillinki	Somalisk shilling	Somalia-Schilling	shilling somalien	scellino somalo
http://www.wikidata.org/entity/Q172872	Turkish lira	Turkin liira	Turkisk lira	türkische Lira	livre turque	lira turca
http://www.wikidata.org/entity/Q131309	new shekel	Uusi Israelin sekeli	Shekel	Schekel	shekel	nuovo siclo israeliano
http://www.wikidata.org/entity/Q25417	Danish krone	Tanskan kruunu	dansk krona	dänische Krone	couronne danoise	corona danese
http://www.wikidata.org/entity/Q4602	Tunisian dinar	Tunisian dinaari	Tunisisk dinar	tunesischer Dinar	dinar tunisien	dinaro tunisino
http://www.wikidata.org/entity/Q4719	Honduran lempira	Hondurasin lempira	Lempira	Lempira	lempira	lempira honduregna
http://www.wikidata.org/entity/Q203567	Nigerian naira	Nigerian naira	Nigeriansk naira	Naira	Naira	Naira nigeriana
http://www.wikidata.org/entity/Q25224	pound sterling	Englannin punta	Brittiskt pund	Pfund Sterling	livre sterling	sterlina britannica
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q26360	Croatian kuna	Kroatian kuna	Kroatisk kuna	kroatische Kuna	kuna croate	kuna croata
http://www.wikidata.org/entity/Q190699	Libyan dinar	Libyan dinaari	Libysk dinar	libyscher Dinar	dinar libyen	dinaro libico
http://www.wikidata.org/entity/Q17193	Philippine peso	Filippiinien peso	Filippinsk peso	philippinischer Peso	peso philippin	peso filippino
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q4916	euro	euro	euro	Euro	euro	euro
http://www.wikidata.org/entity/Q240468	Syrian pound	Syyrian punta	Syriskt pund	syrische Lira	livre syrienne	lira siriana
http://www.wikidata.org/entity/Q25417	Danish krone	Tanskan kruunu	dansk krona	dänische Krone	couronne danoise	corona danese
http://www.wikidata.org/entity/Q25417	Danish krone	Tanskan kruunu	dansk krona	dänische Krone	couronne danoise	corona danese
http://www.wikidata.org/entity/Q25417	Danish krone	Tanskan kruunu	dansk krona	dänische Krone	couronne danoise	corona danese
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q4917	United States dollar	Yhdysvaltain dollari	amerikansk dollar	US-Dollar	dollar américain	dollaro statunitense
http://www.wikidata.org/entity/Q188608	Iranian rial	Iranin rial	Iransk rial	iranischer Rial	rial iranien	riyal iraniano
http://www.wikidata.org/entity/Q199462	Egyptian pound	Egyptin punta	Egyptiskt pund	ägyptisches Pfund	livre égyptienne	sterlina egiziana
http://www.wikidata.org/entity/Q200192	Moroccan dirham	Marokon dirhami	Marockansk dirham	Marokkanischer Dirham	Dirham marocain	Dirham marocchino
http://www.wikidata.org/entity/Q201880	Lebanese pound	Libanonin punta	Libanesiskt pund	libanesisches Pfund	livre libanaise	lira libanese
http://www.wikidata.org/entity/Q163712	Malaysian ringgit	Malesian ringgit	Malaysisk ringgit	Ringgit	ringgit	ringgit malaysiano
http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	Itä-Karibian dollari	Östkaribisk dollar	Ostkaribischer Dollar	dollar des Caraïbes orientales	dollaro dei Caraibi Orientali
http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	Itä-Karibian dollari	Östkaribisk dollar	Ostkaribischer Dollar	dollar des Caraïbes orientales	dollaro dei Caraibi Orientali
