country	countryLabel	capital	capitalLabel	currency	currencyLabel	area	population	continent	continentLabel
http://www.wikidata.org/entity/Q778	The Bahamas	http://www.wikidata.org/entity/Q2467	Nassau	http://www.wikidata.org/entity/Q194339	Bahamian dollar	13878	395361	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q1019	Madagascar	http://www.wikidata.org/entity/Q3915	Antananarivo	http://www.wikidata.org/entity/Q4584	ariary	587295	25570895	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1030	Namibia	http://www.wikidata.org/entity/Q3935	Windhoek	http://www.wikidata.org/entity/Q202462	Namibian dollar	825615	2533794	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1032	Niger	http://www.wikidata.org/entity/Q3674	Niamey	http://www.wikidata.org/entity/Q861690	West African CFA franc	1267000	21477348	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1014	Liberia	http://www.wikidata.org/entity/Q3748	Monrovia	http://www.wikidata.org/entity/Q4917	United States dollar	111369	4731906	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q769	Grenada	http://www.wikidata.org/entity/Q41547	St. George's	http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	348.5	107825	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q781	Antigua and Barbuda	http://www.wikidata.org/entity/Q36262	Saint John's	http://www.wikidata.org/entity/Q26365	Eastern Caribbean dollar	440.29	102012	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q1014	Liberia	http://www.wikidata.org/entity/Q3748	Monrovia	http://www.wikidata.org/entity/Q242988	Liberian dollar	111369	4731906	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1016	Libya	http://www.wikidata.org/entity/Q3579	Tripoli	http://www.wikidata.org/entity/Q190699	Libyan dinar	1759541	6678567	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1020	Malawi	http://www.wikidata.org/entity/Q3876	Lilongwe	http://www.wikidata.org/entity/Q211694	Malawian kwacha	118484.186083	18622104	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q917	Bhutan	http://www.wikidata.org/entity/Q9270	Thimphu	http://www.wikidata.org/entity/Q201799	ngultrum	38394	807610	http://www.wikidata.org/entity/Q48	Asia
http://www.wikidata.org/entity/Q1028	Morocco	http://www.wikidata.org/entity/Q3551	Rabat	http://www.wikidata.org/entity/Q200192	Moroccan dirham	710850	36029138	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1013	Lesotho	http://www.wikidata.org/entity/Q3909	Maseru	http://www.wikidata.org/entity/Q208039	Lesotho loti	30355	2233339	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q691	Papua New Guinea	http://www.wikidata.org/entity/Q36526	Port Moresby	http://www.wikidata.org/entity/Q200759	kina	462840	8935000	http://www.wikidata.org/entity/Q538	insular Oceania
http://www.wikidata.org/entity/Q33	Finland	http://www.wikidata.org/entity/Q1757	Helsinki	http://www.wikidata.org/entity/Q4916	euro	338424.38	5501043	http://www.wikidata.org/entity/Q46	Europe
http://www.wikidata.org/entity/Q702	Federated States of Micronesia	http://www.wikidata.org/entity/Q42751	Palikir	http://www.wikidata.org/entity/Q4917	United States dollar	702	105544	http://www.wikidata.org/entity/Q538	insular Oceania
http://www.wikidata.org/entity/Q672	Tuvalu	http://www.wikidata.org/entity/Q34126	Funafuti	http://www.wikidata.org/entity/Q259502	Australian dollar	26	11192	http://www.wikidata.org/entity/Q538	insular Oceania
http://www.wikidata.org/entity/Q672	Tuvalu	http://www.wikidata.org/entity/Q34126	Funafuti	http://www.wikidata.org/entity/Q259502	Australian dollar	26	11192	http://www.wikidata.org/entity/Q538	insular Oceania
http://www.wikidata.org/entity/Q1029	Mozambique	http://www.wikidata.org/entity/Q3889	Maputo	http://www.wikidata.org/entity/Q200753	Mozambican metical	801590	29668834	http://www.wikidata.org/entity/Q15	Africa
