person	personLabel	sexLabel	award	awardLabel	date	birthDate	birthPlace	birthPlaceLabel	country	countryLabel	deathDate #https://w.wiki/3tEM
http://www.wikidata.org/entity/Q997	Andrei Sakharov	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1975-01-01T00:00:00Z	1921-05-21T00:00:00Z	http://www.wikidata.org/entity/Q649	Moscow	http://www.wikidata.org/entity/Q159	Russia	1989-12-14T00:00:00Z
http://www.wikidata.org/entity/Q1254	Kofi Annan	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	2001-01-01T00:00:00Z	1938-04-08T00:00:00Z	http://www.wikidata.org/entity/Q182059	Kumasi	http://www.wikidata.org/entity/Q117	Ghana	2018-08-18T00:00:00Z
http://www.wikidata.org/entity/Q1267	Dag Hammarskjöld	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1961-01-01T00:00:00Z	1905-07-29T00:00:00Z	http://www.wikidata.org/entity/Q10542132	Jönköping Town	http://www.wikidata.org/entity/Q34	Sweden	1961-09-18T00:00:00Z
http://www.wikidata.org/entity/Q2514	Willy Brandt	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1971-01-01T00:00:00Z	1913-12-18T00:00:00Z	http://www.wikidata.org/entity/Q2843	Lübeck	http://www.wikidata.org/entity/Q183	Germany	1992-10-08T00:00:00Z
http://www.wikidata.org/entity/Q8023	Nelson Mandela	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1993-01-01T00:00:00Z	1918-07-18T00:00:00Z	http://www.wikidata.org/entity/Q1020378	Mvezo	http://www.wikidata.org/entity/Q258	South Africa	2013-12-05T00:00:00Z
http://www.wikidata.org/entity/Q11665	José Ramos-Horta	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1996-01-01T00:00:00Z	1949-12-26T00:00:00Z	http://www.wikidata.org/entity/Q9310	Dili	http://www.wikidata.org/entity/Q574	East Timor	
http://www.wikidata.org/entity/Q12086	Ernesto Teodoro Moneta	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1907-01-01T00:00:00Z	1833-09-20T00:00:00Z	http://www.wikidata.org/entity/Q490	Milan	http://www.wikidata.org/entity/Q38	Italy	1918-02-10T00:00:00Z
http://www.wikidata.org/entity/Q17293	His Holiness the Dalai Lama 14 Tendzin Gyatso	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1989-01-01T00:00:00Z	1935-07-06T00:00:00Z	http://www.wikidata.org/entity/Q426534	Taktser	http://www.wikidata.org/entity/Q148	People's Republic of China	
http://www.wikidata.org/entity/Q18391	Elie Wiesel	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1986-01-01T00:00:00Z	1928-09-30T00:00:00Z	http://www.wikidata.org/entity/Q334874	Sighetu Marmației	http://www.wikidata.org/entity/Q218	Romania	2016-07-02T00:00:00Z
http://www.wikidata.org/entity/Q18456	Bertha von Suttner	female	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	1905-01-01T00:00:00Z	1843-06-09T00:00:00Z	http://www.wikidata.org/entity/Q1085	Prague	http://www.wikidata.org/entity/Q213	Czech Republic	1914-06-21T00:00:00Z
http://www.wikidata.org/entity/Q19673	Al Gore	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	2007-01-01T00:00:00Z	1948-03-31T00:00:00Z	http://www.wikidata.org/entity/Q61	Washington, D.C.	http://www.wikidata.org/entity/Q30	United States of America	
http://www.wikidata.org/entity/Q23685	Jimmy Carter	male	http://www.wikidata.org/entity/Q35637	Nobel Peace Prize	2002-01-01T00:00:00Z	1924-10-01T00:00:00Z	http://www.wikidata.org/entity/Q6548118	Lillian G. Carter Nursing Center	http://www.wikidata.org/entity/Q30	United States of America	
