Andrei Sakharov	male	Nobel Peace Prize	1975-01-01T00:00:00Z	1921-05-21T00:00:00Z	Moscow	Russia	1989-12-14T00:00:00Z
Kofi Annan	male	Nobel Peace Prize	2001-01-01T00:00:00Z	1938-04-08T00:00:00Z	Kumasi	Ghana	2018-08-18T00:00:00Z
Dag Hammarskjöld	male	Nobel Peace Prize	1961-01-01T00:00:00Z	1905-07-29T00:00:00Z	Jönköping Town	Sweden	1961-09-18T00:00:00Z
Willy Brandt	male	Nobel Peace Prize	1971-01-01T00:00:00Z	1913-12-18T00:00:00Z	Lübeck	Germany	1992-10-08T00:00:00Z
Nelson Mandela	male	Nobel Peace Prize	1993-01-01T00:00:00Z	1918-07-18T00:00:00Z	Mvezo	South Africa	2013-12-05T00:00:00Z
José Ramos-Horta	male	Nobel Peace Prize	1996-01-01T00:00:00Z	1949-12-26T00:00:00Z	Dili	East Timor	
Ernesto Teodoro Moneta	male	Nobel Peace Prize	1907-01-01T00:00:00Z	1833-09-20T00:00:00Z	Milan	Italy	1918-02-10T00:00:00Z
His Holiness the Dalai Lama 14 Tendzin Gyatso	male	Nobel Peace Prize	1989-01-01T00:00:00Z	1935-07-06T00:00:00Z	Taktser	People's Republic of China	
Elie Wiesel	male	Nobel Peace Prize	1986-01-01T00:00:00Z	1928-09-30T00:00:00Z	Sighetu Marmației	Romania	2016-07-02T00:00:00Z
Bertha von Suttner	female	Nobel Peace Prize	1905-01-01T00:00:00Z	1843-06-09T00:00:00Z	Prague	Czech Republic	1914-06-21T00:00:00Z
Al Gore	male	Nobel Peace Prize	2007-01-01T00:00:00Z	1948-03-31T00:00:00Z	Washington, D.C.	United States of America	
Jimmy Carter	male	Nobel Peace Prize	2002-01-01T00:00:00Z	1924-10-01T00:00:00Z	Lillian G. Carter Nursing Center	United States of America	
Mikhail Gorbachev	male	Nobel Peace Prize	1990-01-01T00:00:00Z	1931-03-02T00:00:00Z	Privolnoye	Russia	
Mother Teresa	female	Nobel Peace Prize	1979-01-01T00:00:00Z	1910-08-26T00:00:00Z	Skopje	North Macedonia	1997-09-05T00:00:00Z
Malala Yousafzai	female	Nobel Peace Prize	2014-01-01T00:00:00Z	1997-07-12T00:00:00Z	Mingora	Pakistan	
Theodore Roosevelt	male	Nobel Peace Prize	1906-01-01T00:00:00Z	1858-10-27T00:00:00Z	Theodore Roosevelt Birthplace National Historic Site	United States of America	1919-01-06T00:00:00Z
