countryLabel	capitalLabel	area	population	continentLabel	currencyLabel
Malawi	Lilongwe	118484.186083	18622104	Africa	Malawian kwacha
Libya	Tripoli	1759541	6678567	Africa	Libyan dinar
Madagascar	Antananarivo	587295	25570895	Africa	ariary
The Bahamas	Nassau	13878	395361	North America	Bahamian dollar
Grenada	St. George's	348.5	107825	North America	Eastern Caribbean dollar
Antigua and Barbuda	Saint John's	440.29	102012	North America	Eastern Caribbean dollar
Mozambique	Maputo	801590	29668834	Africa	Mozambican metical
Mauritania	Nouakchott	1030700	4420184	Africa	Mauritanian ouguiya
Morocco	Rabat	710850	36029138	Africa	Moroccan dirham
Nigeria	Abuja	923768	190886311	Africa	Nigerian naira
Finland	Helsinki	338424.38	5501043	Europe	euro
Tuvalu	Funafuti	26	11192	insular Oceania	Tuvaluan dollar
Tuvalu	Funafuti	26	11192	insular Oceania	Tuvaluan dollar
Bhutan	Thimphu	38394	807610	Asia	ngultrum
Solomon Islands	Honiara	28400	611343	insular Oceania	Solomon Islands dollar
Solomon Islands	Honiara	28400	611343	insular Oceania	Solomon Islands dollar
Uganda	Kampala	241038	42862958	Africa	Ugandan shilling
Tuvalu	Funafuti	26	11192	insular Oceania	Australian dollar
Tuvalu	Funafuti	26	11192	insular Oceania	Australian dollar
Samoa	Apia	2842	196440	insular Oceania	Samoan tālā
Niger	Niamey	1267000	21477348	Africa	West African CFA franc
Denmark	Copenhagen	42925.46	5827463	North America	Danish krone
Denmark	Copenhagen	42925.46	5827463	North America	Danish krone
Namibia	Windhoek	825615	2533794	Africa	Namibian dollar
Rwanda	Kigali	26338	12208407	Africa	Rwandan franc
Mauritius	Port Louis	2040	1264613	Africa	Mauritian rupee
Lesotho	Maseru	30355	2233339	Africa	Lesotho loti
Senegal	Dakar	196722	15850567	Africa	West African CFA franc
Denmark	Copenhagen	42925.46	5827463	Europe	Danish krone
Denmark	Copenhagen	42925.46	5827463	Europe	Danish krone
Papua New Guinea	Port Moresby	462840	8935000	insular Oceania	kina
Vanuatu	Port Vila	12190	276244	insular Oceania	Vanuatu vatus
Tonga	Nuku'alofa	748.506563	108020	insular Oceania	Tongan paʻanga
Saint Lucia	Castries	617.012867	178844	North America	Eastern Caribbean dollar
Liberia	Monrovia	111369	4731906	Africa	United States dollar
