city	cityLabel	cityLabel	cityLabel	cityLabel	cityLabel	cityLabel
http://www.wikidata.org/entity/Q10690	Cardiff	Cardiff	Cardiff	Cardiff	Cardiff	Cardiff
http://www.wikidata.org/entity/Q10717	Georgetown	Georgetown	Georgetown	Georgetown	Georgetown	Georgetown
http://www.wikidata.org/entity/Q1218	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jérusalem	Gerusalemme
http://www.wikidata.org/entity/Q129352	Stepanakert	Stepanakert	Stepanakert	Stepanakert	Stepanakert	Step'anakert
http://www.wikidata.org/entity/Q131233	South Tarawa	South Tarawa	South Tarawa	South Tarawa	Tarawa-Sud	Tarawa Sud
http://www.wikidata.org/entity/Q131243	Oranjestad	Oranjestad	Oranjestad	Oranjestad	Oranjestad	Oranjestad
http://www.wikidata.org/entity/Q131694	Aden	Aden	Aden	Aden	Aden	Aden
http://www.wikidata.org/entity/Q1335	Montevideo	Montevideo	Montevideo	Montevideo	Montevideo	Montevideo
http://www.wikidata.org/entity/Q1354	Dhaka	Dhaka	Dhaka	Dhaka	Dacca	Dacca
http://www.wikidata.org/entity/Q1362	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad
http://www.wikidata.org/entity/Q1486	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires
http://www.wikidata.org/entity/Q1489	Mexico City	Mexico City	México	Mexiko-Stadt	Mexico	Città del Messico
http://www.wikidata.org/entity/Q1491	La Paz	La Paz	La Paz	La Paz	La Paz	La Paz
http://www.wikidata.org/entity/Q1519	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abou Dabi	Abu Dhabi
http://www.wikidata.org/entity/Q1524	Athens	Aten	Ateena	Athen	Athènes	Atene
http://www.wikidata.org/entity/Q1533	Caracas	Caracas	Caracas	Caracas	Caracas	Caracas
http://www.wikidata.org/entity/Q1555	Guatemala City	Guatemala City	Guatemala	Guatemala-Stadt	Guatemala-Ville	Città del Guatemala
