country	countryLabel	countryLabel	countryLabel	countryLabel	countryLabel	countryLabel
http://www.wikidata.org/entity/Q1005	The Gambia	Gambia	Gambia	Gambia	Gambie	Gambia
http://www.wikidata.org/entity/Q1006	Guinea	Guinea	Guinea	Guinea	Guinée	Guinea
http://www.wikidata.org/entity/Q1007	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinée-Bissau	Guinea-Bissau
http://www.wikidata.org/entity/Q1011	Cape Verde	Kap Verde	Kap Verde	Kap Verde	Cap-Vert	Capo Verde
http://www.wikidata.org/entity/Q1013	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho
http://www.wikidata.org/entity/Q1014	Liberia	Liberia	Liberia	Liberia	Liberia	Liberia
http://www.wikidata.org/entity/Q1016	Libya	Libyen	Libya	Libyen	Libye	Libia
http://www.wikidata.org/entity/Q1020	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi
http://www.wikidata.org/entity/Q1025	Mauritania	Mauretanien	Mauritania	Mauretanien	Mauritanie	Mauritania
http://www.wikidata.org/entity/Q1027	Mauritius	Mauritius	Mauritius	Mauritius	Maurice	Mauritius
http://www.wikidata.org/entity/Q1028	Morocco	Marocko	Marokko	Marokko	Maroc	Marocco
http://www.wikidata.org/entity/Q1029	Mozambique	Moçambique	Mosambik	Mosambik	Mozambique	Mozambico
http://www.wikidata.org/entity/Q1030	Namibia	Namibia	Namibia	Namibia	Namibie	Namibia
http://www.wikidata.org/entity/Q1032	Niger	Niger	Niger	Niger	Niger	Niger
http://www.wikidata.org/entity/Q1033	Nigeria	Nigeria	Nigeria	Nigeria	Nigeria	Nigeria
http://www.wikidata.org/entity/Q1036	Uganda	Uganda	Uganda	Uganda	Ouganda	Uganda
http://www.wikidata.org/entity/Q1039	São Tomé and Príncipe	São Tomé och Príncipe	São Tomé ja Príncipe	São Tomé und Príncipe	Sao Tomé-et-Principe	São Tomé e Príncipe
http://www.wikidata.org/entity/Q1042	Seychelles	Seychellerna	Seychellit	Seychellen	Seychelles	Seychelles
http://www.wikidata.org/entity/Q1044	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone
http://www.wikidata.org/entity/Q1049	Sudan	Sudan	Sudan	Sudan	Soudan	Sudan
http://www.wikidata.org/entity/Q117	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana
http://www.wikidata.org/entity/Q145	United Kingdom	Storbritannien	Yhdistynyt kuningaskunta	Vereinigtes Königreich	Royaume-Uni	Regno Unito
http://www.wikidata.org/entity/Q148	People's Republic of China	Kina	Kiina	Volksrepublik China	République populaire de Chine	Cina
http://www.wikidata.org/entity/Q155	Brazil	Brasilien	Brasilia	Brasilien	Brésil	Brasile
http://www.wikidata.org/entity/Q164819	Gagauzia	Gagauzien	Gagauzia	Gagausien	Gagaouzie	Gagauzia
http://www.wikidata.org/entity/Q20	Norway	Norge	Norja	Norwegen	Norvège	Norvegia
http://www.wikidata.org/entity/Q21203	Aruba	Aruba	Aruba	Aruba	Aruba	Aruba
http://www.wikidata.org/entity/Q214	Slovakia	Slovakien	Slovakia	Slowakei	Slovaquie	Slovacchia
http://www.wikidata.org/entity/Q222	Albania	Albanien	Albania	Albanien	Albanie	Albania
http://www.wikidata.org/entity/Q228	Andorra	Andorra	Andorra	Andorra	Andorre	Andorra
http://www.wikidata.org/entity/Q236	Montenegro	Montenegro	Montenegro	Montenegro	Monténégro	Montenegro
http://www.wikidata.org/entity/Q244	Barbados	Barbados	Barbados	Barbados	Barbade	Barbados
http://www.wikidata.org/entity/Q244165	Republic of Artsakh	Artsach	Artsakhin tasavalta	Republik Arzach	Artsakh	Artsakh
http://www.wikidata.org/entity/Q25	Wales	Wales	Wales	Wales	pays de Galles	Galles
http://www.wikidata.org/entity/Q252	Indonesia	Indonesien	Indonesia	Indonesien	Indonésie	Indonesia
http://www.wikidata.org/entity/Q258	South Africa	Sydafrika	Etelä-Afrikka	Südafrika	Afrique du Sud	Sudafrica
http://www.wikidata.org/entity/Q262	Algeria	Algeriet	Algeria	Algerien	Algérie	Algeria
http://www.wikidata.org/entity/Q265	Uzbekistan	Uzbekistan	Uzbekistan	Usbekistan	Ouzbékistan	Uzbekistan
http://www.wikidata.org/entity/Q29999	Kingdom of the Netherlands	Konungariket Nederländerna	Alankomaiden kuningaskunta	Königreich der Niederlande	Royaume des Pays-Bas	Regno dei Paesi Bassi
http://www.wikidata.org/entity/Q33	Finland	Finland	Suomi	Finnland	Finlande	Finlandia
http://www.wikidata.org/entity/Q334	Singapore	Singapore	Singapore	Singapur	Singapour	Singapore
http://www.wikidata.org/entity/Q34	Sweden	Sverige	Ruotsi	Schweden	Suède	Svezia
http://www.wikidata.org/entity/Q36	Poland	Polen	Puola	Polen	Pologne	Polonia
http://www.wikidata.org/entity/Q38	Italy	Italien	Italia	Italien	Italie	Italia
http://www.wikidata.org/entity/Q398	Bahrain	Bahrain	Bahrain	Bahrain	Bahreïn	Bahrein
http://www.wikidata.org/entity/Q408	Australia	Australien	Australia	Australien	Australie	Australia
http://www.wikidata.org/entity/Q41	Greece	Grekland	Kreikka	Griechenland	Grèce	Grecia
http://www.wikidata.org/entity/Q414	Argentina	Argentina	Argentiina	Argentinien	Argentine	Argentina
http://www.wikidata.org/entity/Q419	Peru	Peru	Peru	Peru	Pérou	Perù
http://www.wikidata.org/entity/Q423	North Korea	Nordkorea	Korean demokraattinen kansantasavalta	Nordkorea	Corée du Nord	Corea del Nord
http://www.wikidata.org/entity/Q424	Cambodia	Kambodja	Kambodža	Kambodscha	Cambodge	Cambogia
http://www.wikidata.org/entity/Q55	Netherlands	Nederländerna	Alankomaat	Niederlande	Pays-Bas	Paesi Bassi
http://www.wikidata.org/entity/Q574	East Timor	Östtimor	Itä-Timor	Osttimor	Timor oriental	Timor Est
http://www.wikidata.org/entity/Q657	Chad	Tchad	Tšad	Tschad	Tchad	Ciad
http://www.wikidata.org/entity/Q672	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu
http://www.wikidata.org/entity/Q683	Samoa	Samoa	Samoa	Samoa	Samoa	Samoa
http://www.wikidata.org/entity/Q685	Solomon Islands	Salomonöarna	Salomonsaaret	Salomonen	Îles Salomon	Isole Salomone
http://www.wikidata.org/entity/Q686	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu
http://www.wikidata.org/entity/Q691	Papua New Guinea	Papua Nya Guinea	Papua-Uusi-Guinea	Papua-Neuguinea	Papouasie-Nouvelle-Guinée	Papua Nuova Guinea
http://www.wikidata.org/entity/Q695	Palau	Palau	Palau	Palau	Palaos	Palau
http://www.wikidata.org/entity/Q702	Federated States of Micronesia	Mikronesiska federationen	Mikronesia	Mikronesien	États fédérés de Micronésie	Stati Federati di Micronesia
http://www.wikidata.org/entity/Q710	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati
http://www.wikidata.org/entity/Q712	Fiji	Fiji	Fidži	Fidschi	Fidji	Figi
http://www.wikidata.org/entity/Q717	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela
http://www.wikidata.org/entity/Q733	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay
http://www.wikidata.org/entity/Q734	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana
http://www.wikidata.org/entity/Q750	Bolivia	Bolivia	Bolivia	Bolivien	Bolivie	Bolivia
http://www.wikidata.org/entity/Q754	Trinidad and Tobago	Trinidad och Tobago	Trinidad ja Tobago	Trinidad und Tobago	Trinité-et-Tobago	Trinidad e Tobago
http://www.wikidata.org/entity/Q757	Saint Vincent and the Grenadines	Saint Vincent och Grenadinerna	Saint Vincent ja Grenadiinit	St. Vincent und die Grenadinen	Saint-Vincent-et-les-Grenadines	Saint Vincent e Grenadine
http://www.wikidata.org/entity/Q760	Saint Lucia	Saint Lucia	Saint Lucia	St. Lucia	Sainte-Lucie	Saint Lucia
http://www.wikidata.org/entity/Q763	Saint Kitts and Nevis	Saint Kitts och Nevis	Saint Kitts ja Nevis	St. Kitts und Nevis	Saint-Christophe-et-Niévès	Saint Kitts e Nevis
http://www.wikidata.org/entity/Q766	Jamaica	Jamaica	Jamaika	Jamaika	Jamaïque	Giamaica
http://www.wikidata.org/entity/Q769	Grenada	Grenada	Grenada	Grenada	Grenade	Grenada
http://www.wikidata.org/entity/Q77	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay
http://www.wikidata.org/entity/Q774	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala
http://www.wikidata.org/entity/Q778	The Bahamas	Bahamas	Bahama	Bahamas	Bahamas	Bahamas
http://www.wikidata.org/entity/Q781	Antigua and Barbuda	Antigua och Barbuda	Antigua ja Barbuda	Antigua und Barbuda	Antigua-et-Barbuda	Antigua e Barbuda
http://www.wikidata.org/entity/Q783	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras
http://www.wikidata.org/entity/Q784	Dominica	Dominica	Dominica	Dominica	Dominique	Dominica
http://www.wikidata.org/entity/Q786	Dominican Republic	Dominikanska republiken	Dominikaaninen tasavalta	Dominikanische Republik	République dominicaine	Repubblica Dominicana
http://www.wikidata.org/entity/Q79	Egypt	Egypten	Egypti	Ägypten	Égypte	Egitto
http://www.wikidata.org/entity/Q792	El Salvador	El Salvador	El Salvador	El Salvador	Salvador	El Salvador
http://www.wikidata.org/entity/Q800	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica
http://www.wikidata.org/entity/Q801	Israel	Israel	Israel	Israel	Israël	Israele
http://www.wikidata.org/entity/Q805	Yemen	Jemen	Jemen	Jemen	Yémen	Yemen
http://www.wikidata.org/entity/Q810	Jordan	Jordanien	Jordania	Jordanien	Jordanie	Giordania
http://www.wikidata.org/entity/Q811	Nicaragua	Nicaragua	Nicaragua	Nicaragua	Nicaragua	Nicaragua
http://www.wikidata.org/entity/Q819	Laos	Laos	Laos	Laos	Laos	Laos
http://www.wikidata.org/entity/Q826	Maldives	Maldiverna	Malediivit	Malediven	Maldives	Maldive
http://www.wikidata.org/entity/Q836	Myanmar	Myanmar	Myanmar	Myanmar	Birmanie	Birmania
http://www.wikidata.org/entity/Q837	Nepal	Nepal	Nepal	Nepal	Népal	Nepal
http://www.wikidata.org/entity/Q843	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan
http://www.wikidata.org/entity/Q854	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka
http://www.wikidata.org/entity/Q858	Syria	Syrien	Syyria	Syrien	Syrie	Siria
http://www.wikidata.org/entity/Q863	Tajikistan	Tadzjikistan	Tadžikistan	Tadschikistan	Tadjikistan	Tagikistan
http://www.wikidata.org/entity/Q865	Taiwan	Taiwan	Taiwan	Republik China	Taïwan	Taiwan
http://www.wikidata.org/entity/Q869	Thailand	Thailand	Thaimaa	Thailand	Thaïlande	Thailandia
http://www.wikidata.org/entity/Q874	Turkmenistan	Turkmenistan	Turkmenistan	Turkmenistan	Turkménistan	Turkmenistan
